arm,neg_target,pick,normal_protocol,calibration_regime,guarantee_scope,alpha,n_calibration,n_model_seeds,split_repeats_per_model,tau_mean,tau_std,tau_ci95_low,tau_ci95_high,normal_FAR_mean,normal_FAR_std,normal_FAR_ci95_low,normal_FAR_ci95_high,mixed_coverage_mean,mixed_coverage_std,mixed_coverage_ci95_low,mixed_coverage_ci95_high,mixed_bitF1_all_mean,mixed_bitF1_all_std,mixed_bitF1_all_ci95_low,mixed_bitF1_all_ci95_high,mixed_bitF1_accepted_mean,mixed_bitF1_accepted_std,mixed_bitF1_accepted_ci95_low,mixed_bitF1_accepted_ci95_high,mixed_FAR_mean,mixed_FAR_std,mixed_FAR_ci95_low,mixed_FAR_ci95_high,normal_FAR_minus_alpha
cutmix,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.1,100,5,50,0.8802355796098709,0.11975079420537021,0.7857760061025619,0.9650237834453582,0.09696444444444444,0.006800936754649377,0.09202222222222223,0.1020888888888889,0.9325781333333334,0.12546658756497683,0.8188496000000001,0.9954989333333334,0.6559142547270376,0.12489933576182619,0.549017977163945,0.7331053568311932,0.6861732323403456,0.0708835225507784,0.6249143811498383,0.7348081686268366,0.011811958078866019,0.009763276239981284,0.004700143255673679,0.019583352182764076,-0.003035555555555569
cutmix,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.1,200,5,50,0.8784182209968566,0.12339605530530176,0.7732484412193299,0.9652939887046813,0.09863,0.003397535871775314,0.09555,0.10071000000000001,0.9356960000000001,0.12140557279539427,0.8258928000000001,0.9959397333333333,0.6590327257070248,0.12321521131775606,0.5485236334222144,0.7357298834321426,0.687698624183272,0.07140876776726073,0.6298787756614007,0.738851979477281,0.012013269999246023,0.009968830314877435,0.004669029128653648,0.020525873985272308,-0.00137000000000001
cutmix,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.1,500,5,50,0.8761994519233702,0.12522113714861513,0.7716909940242768,0.9658018896579742,0.101016,0.0017126821071056912,0.09963200000000001,0.102312,0.9391930666666667,0.11515558436750786,0.8349861333333333,0.9964114666666667,0.662029099007967,0.12061843127071492,0.5541053404281879,0.7367867474842664,0.6889290895601088,0.07191287985365256,0.6276442780203373,0.7381407866543287,0.012166729498102491,0.010079848671121537,0.004705270300836914,0.020706677724999373,0.0010159999999999891
fcm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.005,200,5,50,0.9113592824935914,0.0836726384094026,0.8366781804561615,0.9606836855411529,0.004954999999999999,0.0011575026997808686,0.004150000000000001,0.005914999999999999,0.15025360000000001,0.118824884492171,0.0603912,0.24710773333333336,0.10330588683372974,0.07733980687256473,0.0468427136234273,0.1633411450203944,0.4821015801272413,0.0869937187861006,0.4096181963164499,0.5467321835002883,6.785795068988916e-05,0.0001261516293627942,3.2169695141873383e-06,0.00018206036844353968,-4.500000000000077e-05
fcm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.005,500,5,50,0.9141174910068512,0.08260665514368169,0.8397003579139708,0.9610735688209534,0.00408,0.0008173126696681022,0.003456,0.0046960000000000005,0.145428,0.11518232241296598,0.059508000000000005,0.24154560000000003,0.10074699616520233,0.07524230011693864,0.04546559139751009,0.16465547638208036,0.4930023313580379,0.09620927656923177,0.41394586378732934,0.5654680150833513,5.644776194425595e-05,0.00010894189717939272,1.6587499057528462e-06,0.00015506798361356153,-0.0009199999999999998
fcm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.01,100,5,50,0.8972873196601867,0.08695886483376367,0.8194714996814728,0.9507239756584166,0.00991111111111111,0.0017033010796395434,0.008573333333333332,0.011248888888888888,0.17312,0.12824859548721945,0.07568319999999999,0.27728373333333334,0.11710891142635146,0.08133534872636196,0.05626235686133074,0.18107903120884777,0.48668608742705893,0.08611085605068199,0.4142174505153168,0.5498792777143298,0.00010942722863102865,0.0001723930276899379,8.947196461333534e-06,0.00026539998492045534,-8.888888888889009e-05
fcm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.01,200,5,50,0.8930701167583465,0.08630237864844571,0.8141961977481842,0.9460852754116058,0.0098,0.0010972978173677368,0.00894,0.01066,0.1784016,0.124924036706401,0.08529786666666667,0.28302533333333335,0.12117290553518476,0.07901932389891499,0.06356722206409947,0.18926381128660036,0.49359995037960197,0.09215921958001315,0.42117943368745686,0.5644115309676687,0.00010751715298197993,0.0001752468114655715,1.0103294880494608e-05,0.0002656010455150921,-0.00020000000000000052
fcm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.01,500,5,50,0.8893524792194366,0.08785559661399983,0.809685664653778,0.9432462804317474,0.009912,0.0005007194823451556,0.009575999999999998,0.010328,0.1839186666666667,0.12680352581147822,0.09009813333333334,0.2911170666666667,0.12481060208232957,0.07981706420323485,0.06719382888640245,0.1942347387434412,0.49339949664001576,0.09216762217912812,0.42132388453308406,0.5643371036581307,0.00011470506924024226,0.00019544116600271478,8.444544974741762e-06,0.00029118600618261326,-8.799999999999954e-05
fcm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.02,100,5,50,0.8731895833015442,0.0921793208207349,0.7893400075435638,0.933632525920868,0.01970222222222222,0.002353384743956335,0.017702222222222223,0.021435555555555555,0.21157333333333334,0.14035920703680255,0.10685466666666665,0.327836,0.14045441047907023,0.08596014491373928,0.0778322851062036,0.21390282769920915,0.4954356697468949,0.08711145899397006,0.42759771324381646,0.5632736262499732,0.0001878911256880042,0.00025936954303744234,2.437859709970092e-05,0.0004187589534796048,-0.00029777777777777875
fcm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.02,200,5,50,0.8693344440460204,0.09390243207429022,0.7859957134723662,0.9313084473609925,0.019615,0.0012899370139661857,0.018709999999999997,0.020690000000000004,0.216284,0.13960726851819397,0.11449626666666665,0.3350186666666667,0.14384426988088134,0.08571831729227143,0.08158253493837402,0.2102616655810178,0.49524902447811286,0.08728963378456567,0.4272325027556983,0.5632655462005275,0.00018929854985046119,0.00027018782186118454,2.990776345221041e-05,0.0004263992560757998,-0.0003849999999999999
