run_tag,backbone_name,timm_name,family,params_M,img_size,train_time_min,n_train,n_val,best_epoch,best_val_acc,ls,cutmix_p,cell_id,macro_f1,top1_11,bF1_4def,ni_far_pct,ood_far_pct,total_far_pct,status,eval_path
iter88E_swin_large,Swin-Large-384,swin_large_patch4_window12_384.ms_in22k_ft_in1k,Swin V1,195.2,384.0,10.345933159192404,651.0,163.0,1.0,0.9815950920245399,0.2,0.25,T0__I3,0.7234509111706741,0.4396103896103896,0.9472742458226614,100.0,100.0,100.0,DONE,outputs/iter88E_swin_large/T7_iter88E_swin_large_260512_124132/eval_v15direct_n200/stage1_260512_125217
iter88E_swin_large,Swin-Large-384,swin_large_patch4_window12_384.ms_in22k_ft_in1k,Swin V1,195.2,384.0,10.345933159192404,651.0,163.0,1.0,0.9815950920245399,0.2,0.25,T0__I7,0.7102566756873441,0.4077922077922078,0.9204151960369875,100.0,100.0,100.0,DONE,outputs/iter88E_swin_large/T7_iter88E_swin_large_260512_124132/eval_v15direct_n200/stage1_260512_125217
iter88E_swin_large,Swin-Large-384,swin_large_patch4_window12_384.ms_in22k_ft_in1k,Swin V1,195.2,384.0,10.345933159192404,651.0,163.0,1.0,0.9815950920245399,0.2,0.25,T0__I10,0.8053153422465009,0.45876623376623377,0.9192080319546134,0.0,0.15625,0.11904761904761905,DONE,outputs/iter88E_swin_large/T7_iter88E_swin_large_260512_124132/eval_v15direct_n200/stage1_260512_125217
iter88E_swin_large,Swin-Large-384,swin_large_patch4_window12_384.ms_in22k_ft_in1k,Swin V1,195.2,384.0,10.345933159192404,651.0,163.0,1.0,0.9815950920245399,0.2,0.25,T0__I13,0.7077582519655783,0.42175324675324677,0.8636132084923642,0.0,0.15625,0.11904761904761905,DONE,outputs/iter88E_swin_large/T7_iter88E_swin_large_260512_124132/eval_v15direct_n200/stage1_260512_125217
iter88F_convnext_large,ConvNeXt-Large-384,convnext_large.fb_in22k_ft_in1k_384,ConvNeXt V1,196.24,384.0,5.350609163443248,651.0,163.0,3.0,0.9877300613496932,0.2,0.25,T0__I3,0.7309100123157058,0.5064935064935064,0.9918675610054428,100.0,100.0,100.0,DONE,outputs/iter88F_convnext_large/T7_iter88F_convnext_large_260512_132234/eval_v15direct_n200/stage1_260512_132818
iter88F_convnext_large,ConvNeXt-Large-384,convnext_large.fb_in22k_ft_in1k_384,ConvNeXt V1,196.24,384.0,5.350609163443248,651.0,163.0,3.0,0.9877300613496932,0.2,0.25,T0__I7,0.7280277708157422,0.5081168831168831,0.9930876845669813,100.0,100.0,100.0,DONE,outputs/iter88F_convnext_large/T7_iter88F_convnext_large_260512_132234/eval_v15direct_n200/stage1_260512_132818
iter88F_convnext_large,ConvNeXt-Large-384,convnext_large.fb_in22k_ft_in1k_384,ConvNeXt V1,196.24,384.0,5.350609163443248,651.0,163.0,3.0,0.9877300613496932,0.2,0.25,T0__I10,0.7375357437199148,0.5561688311688312,0.9892832154723165,1.5,48.75,37.5,DONE,outputs/iter88F_convnext_large/T7_iter88F_convnext_large_260512_132234/eval_v15direct_n200/stage1_260512_132818
iter88F_convnext_large,ConvNeXt-Large-384,convnext_large.fb_in22k_ft_in1k_384,ConvNeXt V1,196.24,384.0,5.350609163443248,651.0,163.0,3.0,0.9877300613496932,0.2,0.25,T0__I13,0.6240362438665219,0.4720779220779221,0.8720380279788503,0.5,13.750000000000002,10.595238095238095,DONE,outputs/iter88F_convnext_large/T7_iter88F_convnext_large_260512_132234/eval_v15direct_n200/stage1_260512_132818
iter88G_resnet50,ResNet-50,resnet50.a1_in1k,ResNet,23.57,224.0,2.5084100127220155,651.0,163.0,7.0,0.9693251533742331,0.2,0.25,T0__I3,0.5196332831220807,0.1314935064935065,0.6769467422695287,80.0,100.0,95.23809523809523,DONE,outputs/iter88G_resnet50/T7_iter88G_resnet50_260512_125422/eval_v15direct_n200/stage1_260512_125703
iter88G_resnet50,ResNet-50,resnet50.a1_in1k,ResNet,23.57,224.0,2.5084100127220155,651.0,163.0,7.0,0.9693251533742331,0.2,0.25,T0__I7,0.5216894735328513,0.1314935064935065,0.6861313571702536,80.0,100.0,95.23809523809523,DONE,outputs/iter88G_resnet50/T7_iter88G_resnet50_260512_125422/eval_v15direct_n200/stage1_260512_125703
